ISO_Code,Year,EFW,Size of Government,Legal System & Property Rights,Sound Money,Freedom to trade internationally,Regulation,RGDP Per Capita,Poverty Rate
USA,2000,8.51807341,7.376862169,8.472453129,9.777078605,8.39951727,8.564455875,45887,11.3
USA,2001,8.410677369,7.429560733,8.179702497,9.733910716,8.327206533,8.383006364,45878,11.7
USA,2002,8.457408979,7.642580121,7.924787972,9.801027531,8.114732315,8.803916957,46267,12.1
USA,2003,8.454976131,7.830377797,7.803444353,9.815523382,8.14218901,8.683346112,47158,12.5
USA,2004,8.443225296,7.717933401,7.767611596,9.72720919,8.194438923,8.808933372,48493,12.7
USA,2005,8.353783172,7.706034187,7.540887557,9.758163559,8.063767086,8.70006347,49655,13.3
USA,2006,8.318497084,7.701156054,7.360503019,9.655074715,8.079714627,8.796037004,50490,13.3
USA,2007,8.394523797,7.790872448,7.447685158,9.735613161,8.114239578,8.884208638,50902,13
USA,2008,8.244884524,7.496385931,7.409211471,9.686262356,7.998733249,8.633829611,50276,13.2
USA,2009,7.965853149,7.147289922,7.188373526,9.604751278,7.723552058,8.165298964,48453,14.3
USA,2010,7.972577359,7.108888388,7.143095337,9.678238895,7.720759554,8.21190462,49267,15.3
USA,2011,7.906264752,7.260759737,6.957723297,9.305630173,7.711283845,8.295926709,49675,15.9
USA,2012,8.012288436,7.565472121,7.016540356,9.32354224,7.699527237,8.456360225,50394,15.9
USA,2013,7.900998416,7.097752197,6.974507853,9.420297383,7.374713457,8.637721193,50863,15.8
USA,2014,7.969703433,7.126056873,7.099625454,9.389649401,7.573566263,8.659619172,51664,15.5
USA,2015,8.085663851,7.121655181,7.22630626,9.761051292,7.535949024,8.783357496,52591,14.7
USA,2016,8.18344203,7.138581503,7.396209007,9.84787425,7.653328354,8.881217037,53015,14
